Employee Department Category,Employee Role,Employee Role Title,Monthly Income Range,Availability,Work Preferences,Years of Experience,Skills ,Soft skills,Work Travel preferences,Relocation willingness,Adaptability to change,Certifications/licenses,Other Skills
,,,,,,,,,,,,,GSmartControl
,,,,,,,,,,,,,MemTest86
,,,,,,,,,,,,,Chatfuel
,,,,,,,,,,,,,ManyChat
,,,,,,,,,,,,,Dialogflow
,,,,,,,,,,,,,IBM Watson Assistant
,,,,,,,,,,,,,Express Scribe
,,,,,,,,,,,,,oTranscribe
,,,,,,,,,,,,,InqScribe
,,,,,,,,,,,,,Trint
,,,,,,,,,,,,,Sonix
,,,,,,,,,,,,,Descript
,,,,,,,,,,,,,Tesseract OCR
,,,,,,,,,,,,,EasyOCR
,,,,,,,,,,,,,PaddleOCR
,,,,,,,,,,,,,Taggun
,,,,,,,,,,,,,Imagga
,,,,,,,,,,,,,BuiltWith
,,,,,,,,,,,,,Lighthouse
,,,,,,,,,,,,,Gtmetrix
,,,,,,,,,,,,,Pingdom
,,,,,,,,,,,,,WebPageTest
,,,,,,,,,,,,,Adobe Bridge
,,,,,,,,,,,,,Lightroom
,,,,,,,,,,,,,ExifTool
,,,,,,,,,,,,,DigiKam
,,,,,,,,,,,,,Planoly
,,,,,,,,,,,,,Commsor
,,,,,,,,,,,,,Orbit
,,,,,,,,,,,,,Modmail
,,,,,,,,,,,,,AutoMod
,,,,,,,,,,,,,CrowdTangle
,,,,,,,,,,,,,Two Hat Community Sift
,,,,,,,,,,,,,Spectrum Labs
,,,,,,,,,,,,,ActiveFence
,,,,,,,,,,,,,Varonis
,,,,,,,,,,,,,Maltego
,,,,,,,,,,,,,Shodan
,,,,,,,,,,,,,Google Dorking
,,,,,,,,,,,,,WHOIS Lookup
,,,,,,,,,,,,,HashiCorp Vault
,,,,,,,,,,,,,BeautifulSoup
,,,,,,,,,,,,,Scrapy
,,,,,,,,,,,,,Octoparse
,,,,,,,,,,,,,ParseHub
,,,,,,,,,,,,,Diffbot
,,,,,,,,,,,,,Selenium
,,,,,,,,,,,,,Playwright
,,,,,,,,,,,,,cURL
,,,,,,,,,,,,,RapidAPI
,,,,,,,,,,,,,AWS Textract
,,,,,,,,,,,,,pdfminer
,,,,,,,,,,,,,Apache Hadoop
,,,,,,,,,,,,,Apache Spark
,,,,,,,,,,,,,Apache Kafka
,,,,,,,,,,,,,PySpark
,,,,,,,,,,,,,Apache Airflow
,,,,,,,,,,,,,Apache NiFi
,,,,,,,,,,,,,Talend
,,,,,,,,,,,,,Airflow
,,,,,,,,,,,,,Informatica PowerCenter
,,,,,,,,,,,,,dbt
,,,,,,,,,,,,,Microsoft SSIS
,,,,,,,,,,,,,AWS Glue
,,,,,,,,,,,,,Azure Data Factory
,,,,,,,,,,,,,Databricks
,,,,,,,,,,,,,Fivetran
,,,,,,,,,,,,,Microsoft Power Query
,,,,,,,,,,,,,Apache Hudi
,,,,,,,,,,,,,Iceberg
,,,,,,,,,,,,,Delta Lake
,,,,,,,,,,,,,Luigi
,,,,,,,,,,,,,Dagster
,,,,,,,,,,,,,Prefect
,,,,,,,,,,,,,Apache Flink
,,,,,,,,,,,,,Apache Pulsar
,,,,,,,,,,,,,Google Dataflow
,,,,,,,,,,,,,Dask
,,,,,,,,,,,,,AWS Kinesis
,,,,,,,,,,,,,SQLite
,,,,,,,,,,,,,MariaDB
,,,,,,,,,,,,,ClickHouse
,,,,,,,,,,,,,Presto
,,,,,,,,,,,,,Trino
,,,,,,,,,,,,,Apache Drill
,,,,,,,,,,,,,Amazon Redshift
,,,,,,,,,,,,,Snowflake
,,,,,,,,,,,,,Apache Cassandra
,,,,,,,,,,,,,Apache Atlas
,,,,,,,,,,,,,LOD (Linked Open Data)
,,,,,,,,,,,,,Apache Jena
,,,,,,,,,,,,,AllegroGraph
,,,,,,,,,,,,,Stardog
,,,,,,,,,,,,,Wikidata Query Service
,,,,,,,,,,,,,Fiix CMMS
,,,,,,,,,,,,,UpKeep
,,,,,,,,,,,,,Hippo CMMS
,,,,,,,,,,,,,eMaint CMMS
,,,,,,,,,,,,,ServiceTitan
,,,,,,,,,,,,,Jobber
,,,,,,,,,,,,,WorkWave
,,,,,,,,,,,,,ServiceMax
,,,,,,,,,,,,,ServiceNow
,,,,,,,,,,,,,IBM Maximo
,,,,,,,,,,,,,Uptake
,,,,,,,,,,,,,Sensye IoT Sensors
,,,,,,,,,,,,,Fluke
,,,,,,,,,,,,,FieldEdge
,,,,,,,,,,,,,SimPRO
,,,,,,,,,,,,,Housecall Pro
,,,,,,,,,,,,,XOi Technologies
,,,,,,,,,,,,,MeasureQuick
,,,,,,,,,,,,,PartsTech
,,,,,,,,,,,,,Fishbowl Inventory
,,,,,,,,,,,,,Asset Panda
,,,,,,,,,,,,,Epicor Prophet 21
,,,,,,,,,,,,,Tavant Warranty
,,,,,,,,,,,,,Fleet Complete
,,,,,,,,,,,,,Geotab
,,,,,,,,,,,,,Caterpillar Vision Link
,,,,,,,,,,,,,Tenna
,,,,,,,,,,,,,Buildium
,,,,,,,,,,,,,Yardi
,,,,,,,,,,,,,Corrigo
,,,,,,,,,,,,,Azure DevOps
,,,,,,,,,,,,,GitHub
,,,,,,,,,,,,,GitLab
,,,,,,,,,,,,,Bitbucket
,,,,,,,,,,,,,Jenkins
,,,,,,,,,,,,,CircleCI
,,,,,,,,,,,,,Travis CI
,,,,,,,,,,,,,Docker
,,,,,,,,,,,,,Kubernetes
,,,,,,,,,,,,,MySQL
,,,,,,,,,,,,,PostgreSQL
,,,,,,,,,,,,,MongoDB
,,,,,,,,,,,,,Blue Prism
,,,,,,,,,,,,,UiPath
,,,,,,,,,,,,,Postman
,,,,,,,,,,,,,SoapUI
,,,,,,,,,,,,,AppDynamics
,,,,,,,,,,,,,Java
,,,,,,,,,,,,,Go
,,,,,,,,,,,,,JSON-LD
,,,,,,,,,,,,,XML
,,,,,,,,,,,,,XSLT
,,,,,,,,,,,,,YAML
,,,,,,,,,,,,,Clio
,,,,,,,,,,,,,MyCase
,,,,,,,,,,,,,PracticePanther
,,,,,,,,,,,,,Rocket Matter
,,,,,,,,,,,,,Lawmatics
,,,,,,,,,,,,,Westlaw
,,,,,,,,,,,,,LexisNexis
,,,,,,,,,,,,,Fastcase
,,,,,,,,,,,,,Casetext
,,,,,,,,,,,,,PACER
,,,,,,,,,,,,,FTR Gold
,,,,,,,,,,,,,CourtSmart
,,,,,,,,,,,,,Nuance Dragon Legal
,,,,,,,,,,,,,OneTrust
,,,,,,,,,,,,,TrustArc
,,,,,,,,,,,,,VeraSafe
,,,,,,,,,,,,,IBM Guardium
,,,,,,,,,,,,,BigID
,,,,,,,,,,,,,LogicGate
,,,,,,,,,,,,,ServiceNow GRC
,,,,,,,,,,,,,Aptien
,,,,,,,,,,,,,SiteDocs
,,,,,,,,,,,,,FallSafety App
,,,,,,,,,,,,,OSHA 360 Training
,,,,,,,,,,,,,SafetyCulture
,,,,,,,,,,,,,Cority EHS
,,,,,,,,,,,,,iAuditor
,,,,,,,,,,,,,Vector EHS
,,,,,,,,,,,,,ComplianceQuest
,,,,,,,,,,,,,EPA SNAP
,,,,,,,,,,,,,CARB Emission
,,,,,,,,,,,,,ASE Testing
,,,,,,,,,,,,,Dealertrack Compliance
,,,,,,,,,,,,,Shopify
,,,,,,,,,,,,,WooCommerce
,,,,,,,,,,,,,Magento
,,,,,,,,,,,,,BigCommerce
,,,,,,,,,,,,,TradeGecko
,,,,,,,,,,,,,Skubana
,,,,,,,,,,,,,Linnworks
,,,,,,,,,,,,,Katana MRP
,,,,,,,,,,,,,Klarna
,,,,,,,,,,,,,Afterpay
,,,,,,,,,,,,,Epic Systems
,,,,,,,,,,,,,Cerner
,,,,,,,,,,,,,Athenahealth
,,,,,,,,,,,,,Kareo
,,,,,,,,,,,,,AdvancedMD
,,,,,,,,,,,,,DrChrono
,,,,,,,,,,,,,PracticeSuite
,,,,,,,,,,,,,NueMD
,,,,,,,,,,,,,eClinicalWorks
,,,,,,,,,,,,,Oracle Health
,,,,,,,,,,,,,Meditech
,,,,,,,,,,,,,Zocdoc
,,,,,,,,,,,,,Solutionreach
,,,,,,,,,,,,,Doxy.me
,,,,,,,,,,,,,Updox
,,,,,,,,,,,,,Spruce Health
,,,,,,,,,,,,,Teladoc Health
,,,,,,,,,,,,,Vsee
,,,,,,,,,,,,,Availity
,,,,,,,,,,,,,Waystar
,,,,,,,,,,,,,MDCloud
,,,,,,,,,,,,,Office Ally
,,,,,,,,,,,,,Dragon Medical One
,,,,,,,,,,,,,ScribeAmerica
,,,,,,,,,,,,,iScribeHealth
,,,,,,,,,,,,,Otter.ai
,,,,,,,,,,,,,Rev.com
,,,,,,,,,,,,,UpToDate
,,,,,,,,,,,,,Medscape
,,,,,,,,,,,,,PubMed
,,,,,,,,,,,,,WebMD Pro
,,,,,,,,,,,,,Epocrates
,,,,,,,,,,,,,Google Flights
,,,,,,,,,,,,,Skyscanner
,,,,,,,,,,,,,Kayak
,,,,,,,,,,,,,Oracle NetSuite
,,,,,,,,,,,,,SAP ERP
,,,,,,,,,,,,,Tally ERP 9
,,,,,,,,,,,,,Capterra
,,,,,,,,,,,,,G2
,,,,,,,,,,,,,GetApp
,,,,,,,,,,,,,SaaSHub
,,,,,,,,,,,,,Keepa
,,,,,,,,,,,,,CamelCamelCamel
,,,,,,,,,,,,,Trustpilot
,,,,,,,,,,,,,Fakespot
,,,,,,,,,,,,,ReviewMeta
,,,,,,,,,,,,,Product Hunt
,,,,,,,,,,,,,ProdPad
,,,,,,,,,,,,,FeatureUpvote
,,,,,,,,,,,,,Procore
,,,,,,,,,,,,,Autodesk BIM 360
,,,,,,,,,,,,,PlanGrid
,,,,,,,,,,,,,Fieldwire
,,,,,,,,,,,,,Buildertrend
,,,,,,,,,,,,,Primavera P6
,,,,,,,,,,,,,Bluebeam Revu
,,,,,,,,,,,,,ProEst
,,,,,,,,,,,,,STACK
,,,,,,,,,,,,,Sage 300 Construction and Real Estate
,,,,,,,,,,,,,eSUB
,,,,,,,,,,,,,HeavyJob
,,,,,,,,,,,,,CMiC
,,,,,,,,,,,,,Raken
,,,,,,,,,,,,,AutoCAD
,,,,,,,,,,,,,Revit
,,,,,,,,,,,,,ArchiCAD
,,,,,,,,,,,,,SketchUp
,,,,,,,,,,,,,Vectorworks Architect
,,,,,,,,,,,,,MicroStation
,,,,,,,,,,,,,Tekla Structures
,,,,,,,,,,,,,Trimble SysQue
,,,,,,,,,,,,,SAP2000
,,,,,,,,,,,,,ETABS
,,,,,,,,,,,,,STAAD.Pro
,,,,,,,,,,,,,AutoTURN
,,,,,,,,,,,,,HEC-RAS
,,,,,,,,,,,,,ENVI
,,,,,,,,,,,,,QGIS
,,,,,,,,,,,,,ANSYS
,,,,,,,,,,,,,SolidWorks Simulation
,,,,,,,,,,,,,Autodesk CFD
,,,,,,,,,,,,,Abaqus
,,,,,,,,,,,,,COMSOL
,,,,,,,,,,,,,Dialux
,,,,,,,,,,,,,AGi32
,,,,,,,,,,,,,DesignBuilder
,,,,,,,,,,,,,EnergyPlus
,,,,,,,,,,,,,IES-VE
,,,,,,,,,,,,,OpenStudio
,,,,,,,,,,,,,Lumion
,,,,,,,,,,,,,V-Ray
,,,,,,,,,,,,,Enscape
,,,,,,,,,,,,,Twinmotion
,,,,,,,,,,,,,Unreal Engine 5
,,,,,,,,,,,,,Honeywell
,,,,,,,,,,,,,Logiwa
,,,,,,,,,,,,,ShipHero
,,,,,,,,,,,,,Kinaxis RapidResponse
,,,,,,,,,,,,,Llamasoft Supply Chain Guru
,,,,,,,,,,,,,E2open
,,,,,,,,,,,,,CargoWise One
,,,,,,,,,,,,,Descartes
,,,,,,,,,,,,,MercuryGate
,,,,,,,,,,,,,Freightview
,,,,,,,,,,,,,Freightos
,,,,,,,,,,,,,Resilinc
,,,,,,,,,,,,,EcoVadis
,,,,,,,,,,,,,Zotero
,,,,,,,,,,,,,Mendeley
,,,,,,,,,,,,,EndNote
,,,,,,,,,,,,,JSTOR
,,,,,,,,,,,,,IEEE Xplore
,,,,,,,,,,,,,Obsidian
,,,,,,,,,,,,,Roam Research
,,,,,,,,,,,,,Wayback Machine
,,,,,,,,,,,,,FOIA.gov
,,,,,,,,,,,,,Hemingway Editor
,,,,,,,,,,,,,ProWriting Aid
,,,,,,,,,,,,,Adobe Captivate
,,,,,,,,,,,,,Moodle
,,,,,,,,,,,,,Storyline
,,,,,,,,,,,,,Rise
,,,,,,,,,,,,,Lectora
,,,,,,,,,,,,,iSpring Suite
,,,,,,,,,,,,,TalentLMS
,,,,,,,,,,,,,SAP Litmos
,,,,,,,,,,,,,Docebo
,,,,,,,,,,,,,360Learning
,,,,,,,,,,,,,Cornerstone OnDemand
,,,,,,,,,,,,,Blackboard Learn
,,,,,,,,,,,,,Canvas
,,,,,,,,,,,,,D2L Brightspace
,,,,,,,,,,,,,Google Classroom
,,,,,,,,,,,,,Schoology
,,,,,,,,,,,,,Kudos
,,,,,,,,,,,,,XP Systems
,,,,,,,,,,,,,Bunchball
,,,,,,,,,,,,,Gametize
,,,,,,,,,,,,,Axonify
,,,,,,,,,,,,,Kahoot!
,,,,,,,,,,,,,Quizizz
,,,,,,,,,,,,,H5P
,,,,,,,,,,,,,Thinkific
,,,,,,,,,,,,,Teachable
,,,,,,,,,,,,,Kajabi
,,,,,,,,,,,,,Pluralsight
,,,,,,,,,,,,,Skillshare
,,,,,,,,,,,,,ClassMarker
,,,,,,,,,,,,,ExamSoft
,,,,,,,,,,,,,ProProfs Training Maker
,,,,,,,,,,,,,Turnitin
,,,,,,,,,,,,,Nearpod
,,,,,,,,,,,,,EdPuzzle
,,,,,,,,,,,,,Genially
,,,,,,,,,,,,,Pear Deck
,,,,,,,,,,,,,Socrative
,,,,,,,,,,,,,Flipgrid
,,,,,,,,,,,,,Padlet
,,,,,,,,,,,,,PBIS Rewards
,,,,,,,,,,,,,Securly
,,,,,,,,,,,,,ParentSquare
,,,,,,,,,,,,,SchoolMessenger
,,,,,,,,,,,,,Ellucian Banner
,,,,,,,,,,,,,PeopleSoft Campus Solutions
,,,,,,,,,,,,,Jenzabar One
,,,,,,,,,,,,,Anthology Student
,,,,,,,,,,,,,FACTS SIS
,,,,,,,,,,,,,iSAMS
,,,,,,,,,,,,,Skyward SIS
,,,,,,,,,,,,,Infinite Campus
,,,,,,,,,,,,,PowerSchool
,,,,,,,,,,,,,Google Scholar
,,,,,,,,,,,,,ORCID
,,,,,,,,,,,,,Ex Libris Alma & Primo
,,,,,,,,,,,,,Koha
,,,,,,,,,,,,,Dspace
,,,,,,,,,,,,,WorldCat
,,,,,,,,,,,,,EBSCO
,,,,,,,,,,,,,Procare Solutions
,,,,,,,,,,,,,Brightwheel
,,,,,,,,,,,,,HiMama
,,,,,,,,,,,,,Kinderlime
,,,,,,,,,,,,,Kangarootime
,,,,,,,,,,,,,Frog Street
,,,,,,,,,,,,,Planbook
,,,,,,,,,,,,,Seesaw
,,,,,,,,,,,,,Educa
,,,,,,,,,,,,,Storypark
,,,,,,,,,,,,,TeachKloud
,,,,,,,,,,,,,ClassDojo
,,,,,,,,,,,,,Remind
,,,,,,,,,,,,,Tadpoles
,,,,,,,,,,,,,Bloomz
,,,,,,,,,,,,,Kaymbu
,,,,,,,,,,,,,KidCheck
,,,,,,,,,,,,,Famly
,,,,,,,,,,,,,MomentPath
,,,,,,,,,,,,,BehaviorSnap
,,,,,,,,,,,,,NurtureSmart
,,,,,,,,,,,,,ASQ-3
,,,,,,,,,,,,,COR Advantage
,,,,,,,,,,,,,Smartcare
,,,,,,,,,,,,,MealTracker
,,,,,,,,,,,,,Osmo
,,,,,,,,,,,,,Tiggly
,,,,,,,,,,,,,ABCmouse
,,,,,,,,,,,,,Epic!
,,,,,,,,,,,,,PBS
,,,,,,,,,,,,,BrainPOP
,,,,,,,,,,,,,IXL Learning
,,,,,,,,,,,,,Newsela
,,,,,,,,,,,,,Britannica School
,,,,,,,,,,,,,ModMath
,,,,,,,,,,,,,Scratch
,,,,,,,,,,,,,Tynker
,,,,,,,,,,,,,Makey Makey
,,,,,,,,,,,,,Sielox Class
,,,,,,,,,,,,,SchoolPass
,,,,,,,,,,,,,LobbyGuard
,,,,,,,,,,,,,Raptor Visitor Management
,,,,,,,,,,,,,Safe Sleep
,,,,,,,,,,,,,CrisisGo
,,,,,,,,,,,,,Red Cross
,,,,,,,,,,,,,AHA
,,,,,,,,,,,,,ChildCare Aware
,,,,,,,,,,,,,Bevy
,,,,,,,,,,,,,Meetup
,,,,,,,,,,,,,Aventri
,,,,,,,,,,,,,Eventix
,,,,,,,,,,,,,Gametime
,,,,,,,,,,,,,Lyte
,,,,,,,,,,,,,iAudition
,,,,,,,,,,,,,VoiceZam
,,,,,,,,,,,,,Acapela Group
,,,,,,,,,,,,,Vocalware
,,,,,,,,,,,,,Répétito
,,,,,,,,,,,,,Final Draft
,,,,,,,,,,,,,Celtx
,,,,,,,,,,,,,Scriptation
,,,,,,,,,,,,,Studiobinder
,,,,,,,,,,,,,Rehearsal Pro
,,,,,,,,,,,,,Cold Read
,,,,,,,,,,,,,Stage Write
,,,,,,,,,,,,,iPerform
,,,,,,,,,,,,,WriterDuet
,,,,,,,,,,,,,Open Mic Finder
,,,,,,,,,,,,,CuePrompter
,,,,,,,,,,,,,iForce
,,,,,,,,,,,,,TeleFoto
,,,,,,,,,,,,,Adobe Audition
,,,,,,,,,,,,,Audacity
,,,,,,,,,,,,,Ableton Live
,,,,,,,,,,,,,Serato DJ Pro
,,,,,,,,,,,,,Traktor Pro
,,,,,,,,,,,,,Loopback
,,,,,,,,,,,,,VoiceMeeter
,,,,,,,,,,,,,ShurePlus MOTIV
,,,,,,,,,,,,,GarageBand
,,,,,,,,,,,,,FL Studio
,,,,,,,,,,,,,Logic Pro X
,,,,,,,,,,,,,Pro Tools
,,,,,,,,,,,,,Antares Auto-Tune
,,,,,,,,,,,,,Melodyne
,,,,,,,,,,,,,iZotope Nectar
,,,,,,,,,,,,,Waves Vocal
,,,,,,,,,,,,,Native Instruments
,,,,,,,,,,,,,Spectrasonics
,,,,,,,,,,,,,Toontrack
,,,,,,,,,,,,,EastWest Sounds
,,,,,,,,,,,,,Arturia
,,,,,,,,,,,,,Vox Tools
,,,,,,,,,,,,,Vanido
,,,,,,,,,,,,,Singing Carrots
,,,,,,,,,,,,,Riyaz
,,,,,,,,,,,,,Erol Singer's Studio
,,,,,,,,,,,,,KaraFun
,,,,,,,,,,,,,SingSnap
,,,,,,,,,,,,,Singa
,,,,,,,,,,,,,MocapX
,,,,,,,,,,,,,Xsens MVN Animate
,,,,,,,,,,,,,Qlab
,,,,,,,,,,,,,Show Cue Systems
,,,,,,,,,,,,,StageCaller
,,,,,,,,,,,,,StageTimer.io
,,,,,,,,,,,,,CueCards
,,,,,,,,,,,,,PromptSmart Pro
,,,,,,,,,,,,,MadMapper
,,,,,,,,,,,,,Resolume Arena
,,,,,,,,,,,,,TouchDesigner
,,,,,,,,,,,,,Elgato Stream Deck
,,,,,,,,,,,,,vMix
,,,,,,,,,,,,,STEEZY Studio
,,,,,,,,,,,,,Tempo SlowMo
,,,,,,,,,,,,,Smule
,,,,,,,,,,,,,OpenBet
,,,,,,,,,,,,,Kambi Sportsbook
,,,,,,,,,,,,,SBTech
,,,,,,,,,,,,,BetConstruct
,,,,,,,,,,,,,BtoBet
,,,,,,,,,,,,,IGT
,,,,,,,,,,,,,Aristocrat Oasis
,,,,,,,,,,,,,Konami SYNKROS
,,,,,,,,,,,,,SoftSwiss Casino
,,,,,,,,,,,,,Playtech Casino
,,,,,,,,,,,,,Sportradar
,,,,,,,,,,,,,Optimove
,,,,,,,,,,,,,BetBuddy
,,,,,,,,,,,,,H2 Gambling Capital
,,,,,,,,,,,,,Catapult
,,,,,,,,,,,,,Hudl
,,,,,,,,,,,,,Zebra MotionWorks
,,,,,,,,,,,,,Kinexon
,,,,,,,,,,,,,SportVU
,,,,,,,,,,,,,Tonal
,,,,,,,,,,,,,NormaTec
,,,,,,,,,,,,,Vert
,,,,,,,,,,,,,Polar watch
,,,,,,,,,,,,,WHOOP
,,,,,,,,,,,,,Sibelius
,,,,,,,,,,,,,Finale
,,,,,,,,,,,,,MuseScore
,,,,,,,,,,,,,Dorico
,,,,,,,,,,,,,RecTrac
,,,,,,,,,,,,,PerfectMind
,,,,,,,,,,,,,ActiveNet
,,,,,,,,,,,,,DASH Platform
,,,,,,,,,,,,,EZFacility
,,,,,,,,,,,,,GeoComply
,,,,,,,,,,,,,SEON Fraud
,,,,,,,,,,,,,GBG ID3 Global
,,,,,,,,,,,,,iovation
,,,,,,,,,,,,,Wirecast
,,,,,,,,,,,,,StreamYard
,,,,,,,,,,,,,Restream
,,,,,,,,,,,,,Adobe Premiere Pro
,,,,,,,,,,,,,Teleprompter Pro
,,,,,,,,,,,,,Scripter
,,,,,,,,,,,,,Prezi
,,,,,,,,,,,,,Visme
,,,,,,,,,,,,,Keynote
,,,,,,,,,,,,,Slido
,,,,,,,,,,,,,Mentimeter
,,,,,,,,,,,,,Poll Everywhere
,,,,,,,,,,,,,Crowdcast
,,,,,,,,,,,,,Airmeet
,,,,,,,,,,,,,Eventbrite
,,,,,,,,,,,,,CattleMax
,,,,,,,,,,,,,AgriWebb
,,,,,,,,,,,,,Farmbrite
,,,,,,,,,,,,,PastureMap
,,,,,,,,,,,,,Breedr
,,,,,,,,,,,,,CowManager
,,,,,,,,,,,,,Allflex
,,,,,,,,,,,,,SmartBow
,,,,,,,,,,,,,Lely Vector
,,,,,,,,,,,,,DeLaval
,,,,,,,,,,,,,GEA
,,,,,,,,,,,,,BouMatic
,,,,,,,,,,,,,DairyOne
,,,,,,,,,,,,,Micro Technologies
,,,,,,,,,,,,,Zoetis
,,,,,,,,,,,,,Neogen
,,,,,,,,,,,,,Genus ABS
,,,,,,,,,,,,,MVE
,,,,,,,,,,,,,VetLink
,,,,,,,,,,,,,Herdwatch
,,,,,,,,,,,,,GlobalVetLink
,,,,,,,,,,,,,NRC (National Research Council)
,,,,,,,,,,,,,FAO (Food and Agriculture Organization)
,,,,,,,,,,,,,FarmLogs
,,,,,,,,,,,,,Agrible
,,,,,,,,,,,,,DTN
,,,,,,,,,,,,,Arable Mark
,,,,,,,,,,,,,Trimble Ag
,,,,,,,,,,,,,AquaSpy
,,,,,,,,,,,,,AgriTech Analytics
,,,,,,,,,,,,,Climate FieldView
,,,,,,,,,,,,,John Deere
,,,,,,,,,,,,,Teralytic
,,,,,,,,,,,,,CropX
,,,,,,,,,,,,,Sentera
,,,,,,,,,,,,,Netafim
,,,,,,,,,,,,,Lindsay Zimmatic
,,,,,,,,,,,,,Jain Logic
,,,,,,,,,,,,,Pix4Dfields
,,,,,,,,,,,,,AgEagle
,,,,,,,,,,,,,Granular
,,,,,,,,,,,,,AgFiniti
,,,,,,,,,,,,,Agrivi
,,,,,,,,,,,,,Raven Slingshot
,,,,,,,,,,,,,xarvio
,,,,,,,,,,,,,Syngenta AgriEdge
,,,,,,,,,,,,,iMETOS
,,,,,,,,,,,,,IBM Food Trust
,,,,,,,,,,,,,AgLeader
,,,,,,,,,,,,,AgSquared
,,,,,,,,,,,,,Blue River Technology
,,,,,,,,,,,,,AgriSync
,,,,,,,,,,,,,Raven Autonomy
,,,,,,,,,,,,,FarmHQ
,,,,,,,,,,,,,Fendt VarioGuide
,,,,,,,,,,,,,FarmSense
,,,,,,,,,,,,,Aquanetix
,,,,,,,,,,,,,AKVAconnect
,,,,,,,,,,,,,Maritech Aqua
,,,,,,,,,,,,,XpertSea
,,,,,,,,,,,,,VAKI
,,,,,,,,,,,,,PDS
,,,,,,,,,,,,,VMS
,,,,,,,,,,,,,Fujitsu FishCount
,,,,,,,,,,,,,BlueTraker VMS
,,,,,,,,,,,,,FishTrax
,,,,,,,,,,,,,ArcGIS Marine
,,,,,,,,,,,,,Seabed 2030
,,,,,,,,,,,,,AtlantOS
,,,,,,,,,,,,,FADs
,,,,,,,,,,,,,NOAA
,,,,,,,,,,,,,Trimble Forestry
,,,,,,,,,,,,,Silvacom FMS
,,,,,,,,,,,,,Remsoft
,,,,,,,,,,,,,TRESTIMA
,,,,,,,,,,,,,LOGR
,,,,,,,,,,,,,RIEGL
,,,,,,,,,,,,,Leica
,,,,,,,,,,,,,TreeMetrics
,,,,,,,,,,,,,ArborMetrics
,,,,,,,,,,,,,LogMax Heads
,,,,,,,,,,,,,Ponsse Harvesters & Forwarders
,,,,,,,,,,,,,Tigercat Harvesting Machines
,,,,,,,,,,,,,FSC (Forest Stewardship Council)
,,,,,,,,,,,,,i-Tree Eco
,,,,,,,,,,,,,Landsat
,,,,,,,,,,,,,MODIS
,,,,,,,,,,,,,TunaScope
,,,,,,,,,,,,,Envisible Wholechain
,,,,,,,,,,,,,TreeSnap
,,,,,,,,,,,,,LIMS
,,,,,,,,,,,,,WoodXtra
,,,,,,,,,,,,,FibreTrace
,,,,,,,,,,,,,MiCROTEC Logeye
,,,,,,,,,,,,,Grower's Choice
,,,,,,,,,,,,,Tropica Plant DB
,,,,,,,,,,,,,SeedBank Pro
,,,,,,,,,,,,,SmartPropagator
,,,,,,,,,,,,,Stanhay
,,,,,,,,,,,,,Jang JP
,,,,,,,,,,,,,Bühler
,,,,,,,,,,,,,Centor
,,,,,,,,,,,,,ESCO
,,,,,,,,,,,,,MS
,,,,,,,,,,,,,Thermo Fisher
,,,,,,,,,,,,,Tuttnauer
,,,,,,,,,,,,,Yamato
,,,,,,,,,,,,,Conviron
,,,,,,,,,,,,,Percival
,,,,,,,,,,,,,PGR
,,,,,,,,,,,,,EZ-Clone
,,,,,,,,,,,,,Botanicare
,,,,,,,,,,,,,AeroGarden
,,,,,,,,,,,,,IBA
,,,,,,,,,,,,,NAA
,,,,,,,,,,,,,Dip'N Grow
,,,,,,,,,,,,,Clonex
,,,,,,,,,,,,,TurboKlone
,,,,,,,,,,,,,Mitchell 1 ProDemand
,,,,,,,,,,,,,ALLDATA Repair
,,,,,,,,,,,,,Identifix Direct-Hit
,,,,,,,,,,,,,Autodata
,,,,,,,,,,,,,ShopKey Pro
,,,,,,,,,,,,,Autel MaxiSys Elite
,,,,,,,,,,,,,Bosch KTS 590
,,,,,,,,,,,,,Launch X431 V+
,,,,,,,,,,,,,BlueDriver OBD2
,,,,,,,,,,,,,Snap-on Solus Edge
,,,,,,,,,,,,,Tesla Toolbox
,,,,,,,,,,,,,Autel MaxiCharger EV Diagnostic Kit
,,,,,,,,,,,,,Tekmetric
,,,,,,,,,,,,,Shopmonkey
,,,,,,,,,,,,,ARI (Auto Repair Invoicing)
,,,,,,,,,,,,,RepairShopr
,,,,,,,,,,,,,RO Writer
,,,,,,,,,,,,,CCC ONE
,,,,,,,,,,,,,Audatex
,,,,,,,,,,,,,Mitchell Cloud Estimating
,,,,,,,,,,,,,Axalta ColorNet
,,,,,,,,,,,,,3M PPS Paint Preparation
,,,,,,,,,,,,,ECUtek ProECU
,,,,,,,,,,,,,HP Tuners VCM Suite
,,,,,,,,,,,,,Cobb Accessport
,,,,,,,,,,,,,Alientech KESSv3
,,,,,,,,,,,,,Dynojet Power Vision
,,,,,,,,,,,,,BOSCH BAT 131 Battery Tester
,,,,,,,,,,,,,OTC Encore
,,,,,,,,,,,,,Fluke 1587 FC
,,,,,,,,,,,,,Dossier Systems
,,,,,,,,,,,,,AUTOsist
,,,,,,,,,,,,,Fleetio
,,,,,,,,,,,,,Epicor Parts Network
,,,,,,,,,,,,,Shop-Ware
,,,,,,,,,,,,,AutoFluent
,,,,,,,,,,,,,GaragePlug
,,,,,,,,,,,,,Hansen CIS
,,,,,,,,,,,,,PowerClerk
,,,,,,,,,,,,,Bentley Systems
