Sports Club Roles,Child Protection checked eg DBS?,Do you consent to Photography & Filming of your child?,Do you approve video & images of your child for Club external use?,Club Team Names,Team 1 ,Team 2,Dominant Foot,Dominant Hand,How many keepie uppies can you do?,Fav. Basketball Teams,Fav. Cricket Teams,Fav. Football (Soccer) Team,Fav. American Football Teams,Fav. Ice Hockey Teams,Preferred Positions (By Sport),,Training Frequency,Preferred Training Style,Past Injuries,Chronic Conditions,Allergies,Protective Gear Used,Sports Brand Preference,Supplements Used,,,Fav. Tennis Players,Fav. Rugby Teams,Fav. Rugby Players,Fav. Badminton Players,Fav. Squash Players,Fav. Basketball Teams,Fav. Basketball Players,Fav. MMA Fighters,Fav. Cricket Teams,Fav. Cricket Players,Fav. Football Teams (Soccer),Fav. Football Players (Soccer),Fav. American Football Teams,Fav. American Football Players,Fav. Baseball Teams,Fav. Baseball Players,Fav. Golf Players,Fav. Ice Hockey Teams,Fav. Ice Hockey Players,Fav. Boxers,Fav. F1 Drivers,Fav. Swimmers,Fav. Entertainment & Media
,,,,,,,,,,Panama,Italy,Aston Villa,Notre Dame Fighting Irish,Lehigh Valley Phantoms,Tennis - Doubles Player,,,,Calf Strain,Eczema,,,Oakley,,,,Alex Molcan,,Matthieu Jalibert,Tommy Sugiarto,David Baillargeon,Panama,Andrew Wiggins,Colby Covington,Italy,Kevin Pietersen,Aston Villa,Keylor Navas,Notre Dame Fighting Irish,Marcus Mariota,Tohoku Rakuten Golden Eagles,Wade Boggs,Jason Day,Lehigh Valley Phantoms,Glenn Hall,Adonis Stevenson,Mark Webber,Cate Campbell,Strategy Games
,,,,,,,,,,Philippines,Spain,Leeds United,Texas Longhorns,Hershey Bears,Tennis - Serve-and-Volley Player,,,,Hamstring Tear or Strain,Psoriasis,,,Black Diamond,,,,Hugo Gaston,,Sam Cane,Kenneth Jonassen,Farkas Balazs,Philippines,Jaren Jackson Jr.,Jorge Masvidal,Spain,Mahela Jayawardene,Leeds United,Aymeric Laporte,Texas Longhorns,Teddy Bridgewater,Yokohama DeNA BayStars,Ryne Sandberg,Marc Leishman,Hershey Bears,Jacques Plante,Mikkel Kessler,Robert Kubica,Stephanie Rice,PC Gaming
,,,,,,,,,,Poland,Denmark,Wolverhampton Wanderers,Florida Gators,Bridgeport Islanders,Tennis - Baseline Player,,,,Quadriceps Strain,Heat Sensitivity Disorders,,,Rogue Fitness,,,,Gael Monfils,,Gregory Alldritt,Viktor Axelsen,Patrick Rooney,Poland,D'Angelo Russell,Gilbert Burns,Denmark,Ross Taylor,Wolverhampton Wanderers,Bernardo Silva,Florida Gators,Alex Smith,LG Twins,Ozzie Smith,Cameron Smith,Bridgeport Islanders,Ken Dryden,Carl Froch,Sergio Perez,Emily Seebohm,
,,,,,,,,,,Portugal,Norway,Southampton,Auburn Tigers,Bakersfield Condors,Rugby - Prop,,,,Ankle Sprain,Tendonitis,,,Eleiko,,,,John Isner,,Josh van der Flier,Shi Yuqi,Juan Camilo Vargas,Portugal,CJ McCollum,Anthony Smith,Norway,Inzamam-ul-Haq,Southampton,Fabinho,Auburn Tigers,Nick Foles,Doosan Bears,Chipper Jones,Matt Jones,Bakersfield Condors,Terry Sawchuk,Joe Calzaghe,Valtteri Bottas,Kylie Masse,
,,,,,,,,,,Puerto Rico,Sweden,Crystal Palace,Penn State Nittany Lions,Stockton Heat,Rugby - Hooker,,,,Achilles Tendon Rupture or Tendinitis,Chronic Muscle Strains,,,Gymshark,,,,Benjamin Bonzi,,Brodie Retallick,Li Junhui,Rory Stewart,Puerto Rico,Gordon Hayward,Glover Teixeira,Sweden,Shahid Afridi,Crystal Palace,Frenkie de Jong,Penn State Nittany Lions,Colin Kaepernick,SK Wyverns,Jeff Bagwell,Geoff Ogilvy,Stockton Heat,Grant Fuhr,David Haye,Pierre Gasly,Penny Oleksiak,
,,,,,,,,,,Qatar,Belgium,Newcastle United,Oregon Ducks,Abbotsford Canucks,Rugby - Lock,,,,Plantar Fasciitis,Bursitis,,,SBD,,,,Emil Ruusuvuori,,Joe Marler,Liu Yuchen,Karim El Hammamy,Qatar,Kristaps Porzi??is,Jan Blachowicz,Belgium,Mark Waugh,Newcastle United,Memphis Depay,Oregon Ducks,Michael Vick,Lotte Giants,Craig Biggio,Stuart Appleby,Abbotsford Canucks,Billy Smith,Ricky Hatton,Max Verstappen,Duncan Scott,
,,,,,,,,,,Romania,Austria,Brighton & Hove Albion,USC Trojans,Ontario Reign,Rugby - Flanker,,,,Metatarsal Fracture,Ehlers-Danlos Syndrome (EDS),,,Titan Fitness,,,,Marton Fucsovics,,Duhan van der Merwe,Hiroyuki Endo,Bernat Jaume,Romania,Tobias Harris,Yoel Romero,Austria,Glenn Maxwell,Brighton & Hove Albion,Hakim Ziyech,USC Trojans,Tim Tebow,Hanwha Eagles,Ivan Rodriguez,Robert Allenby,Ontario Reign,Tony Esposito,Chris Eubank,Charles Leclerc,Duncan Armstrong,
,,,,,,,,,,Russia,Switzerland,Fulham,Wisconsin Badgers,San Diego Gulls,Rugby - Number Eight,,,,Turf Toe,Marfan Syndrome,,,Inzer,,,,Lloyd Harris,,Ellis Genge,Yuta Watanabe,Shahjahan Khan,Russia,Clint Capela,Kelvin Gastelum,Switzerland,Jason Holder,Fulham,Wilfried Zaha,Wisconsin Badgers,Steve McNair,NC Dinos,Alex Rodriguez,John Senden,San Diego Gulls,Evgeni Malkin,Nigel Benn,Lando Norris,James Magnussen,
,,,,,,,,,,Saudi Arabia,Czech Republic,Burnley,Florida State Seminoles,San Jose Barracuda,Rugby - Scrum-half,,,,Repetitive Stress Injuries,Sickle Cell Trait/Disease,,,Adidas,,,,Yannick Hanfmann,,Ali Price,Zheng Siwei,Abdallah Mohamed,Saudi Arabia,Jonas Valan?i?nas,Jack Hermansson,Czech Republic,Faf du Plessis,Burnley,Kalidou Koulibaly,Florida State Seminoles,Kurt Warner,KT Wiz,Manny Ramirez,Rod Pampling,San Jose Barracuda,Jonathan Toews,Naseem Hamed,George Russell,Tom Shields,
,,,,,,,,,,Senegal,Finland,Sheffield United,Miami Hurricanes,Springfield Thunderbirds,Rugby - Fly-half,,,,Chronic Joint Pain,,,,Speedo,,,,Richard Gasquet,,Thomas Ramos,Huang Yaqiong,Lucas Serme,Senegal,Deandre Ayton,Paulo Costa,Finland,Quinton de Kock,Sheffield United,Serge Gnabry,Miami Hurricanes,Roger Staubach,Samsung Lions,David Ortiz,Aaron Baddeley,Springfield Thunderbirds,Patrick Kane,Michael Spinks,Alexander Albon,Lilly King,
,,,,,,,,,,Serbia,Luxembourg,Norwich City,Michigan State Spartans,Colorado Eagles,Rugby - Center,,,,Tendinitis,,,,Arena,,,,Alexander Zverev,,Juan MartÌn Gonz·lez,Praveen Jordan,James Willstrop,Serbia,Michael Porter Jr.,Darren Till,Luxembourg,Mohammed Shami,Norwich City,Kai Havertz,Michigan State Spartans,Warren Moon,Kia Tigers,Miguel Cabrera,Steven Bowditch,Colorado Eagles,Zdeno Chara,Leon Spinks,Esteban Ocon,Michael Andrew,
,,,,,,,,,,Singapore,Portugal,Watford,Stanford Cardinal,Texas Stars,Rugby - Wing,,,,Bursitis,,,,TYR,,,,Rinky Hijikata,,Tomas Lavanini,Melati Daeva Oktavianti,Tom Richards,Singapore,Malcolm Brogdon,Leon Edwards,Portugal,Jasprit Bumrah,Watford,Achraf Hakimi,Stanford Cardinal,Jim Kelly,La New Bears,Jose Altuve,Greg Chalmers,Texas Stars,Drew Doughty,Sonny Liston,Lance Stroll,Amanda Beard,
,,,,,,,,,,Slovakia,Greece,Brentford,Iowa Hawkeyes,Iowa Wild,Rugby - Fullback,,,,,,,,Finis,,,,Oscar Otte,,Francois Louw,Zhang Nan,Mahesh Mangaonkar,Slovakia,Fred VanVleet,Stephen Thompson,Greece,Rishabh Pant,Brentford,Mason Mount,Iowa Hawkeyes,Fran Tarkenton,Lamigo Monkeys,Fernando Valenzuela,Peter Lonard,Iowa Wild,Duncan Keith,Riddick Bowe,Kevin Magnussen,Megan Jendrick,
,,,,,,,,,,Slovenia,Malta,Bournemouth,Nebraska Cornhuskers,Milwaukee Admirals,Cricket - Batsman,,,,,,,,Aqua Sphere,,,,Pedro Cachin,,Jamie George,Fu Haifeng,Christopher Gordon,Slovenia,Jerami Grant,Vicente Luque,Malta,Shikhar Dhawan,Bournemouth,Dani Carvajal,Nebraska Cornhuskers,Troy Aikman,Uni-President 7-Eleven Lions,Juan Marichal,Craig Parry,Milwaukee Admirals,Shea Weber,Michael Moorer,Ralf Schumacher,Dara Torres,
,,,,,,,,,,South Korea,Cyprus,Udinese,Washington Huskies,Manitoba Moose,Cricket - Bowler,,,,,,,,Specialized,,,,Thiago Monteiro,,Jasper Wiese,Cai Yun,Andrew Douglas,South Korea,Myles Turner,Tyron Woodley,Cyprus,Ravichandran Ashwin,Udinese,Philippe Coutinho,Washington Huskies,Randall Cunningham,Chinatrust Brothers,Sammy Sosa,Brett Ogle,Manitoba Moose,Ryan Suter,John Ruiz,Pastor Maldonado,Natalie Coughlin,
,,,,,,,,,,Spain,Croatia,Fiorentina,Tennessee Volunteers,Belleville Senators,Cricket - Wicketkeeper,,,,,,,,Trek,,,,Alexei Popyrin,,Robbie Henshaw,Mathias Boe,Faraz Khan,Spain,John Wall,Robbie Lawler,Croatia,Ajinkya Rahane,Fiorentina,Nicolas Pepe,Tennessee Volunteers,Joe Namath,Rakuten Monkeys,Vladimir Guerrero,Terry Gale,Belleville Senators,Erik Karlsson,James Toney,Timo Glock,Camille Muffat,
,,,,,,,,,,Sweden,Serbia,Sampdoria,Texas A&M Aggies,Rochester Americans,Cricket - All-rounder,,,,,,,,Cannondale,,,,Yoshihito Nishioka,,Luke Cowan-Dickie,Carsten Mogensen,Mazen Gamal,Sweden,Buddy Hield,Nate Diaz,Serbia,Cheteshwar Pujara,Sampdoria,Jordan Henderson,Texas A&M Aggies,Ken Stabler,EDA Rhinos,Roberto Alomar,Michael Campbell,Rochester Americans,P.K. Subban,Chris Byrd,Kamui Kobayashi,Laure Manaudou,
,,,,,,,,,,Switzerland,Romania,Torino,Baylor Bears,Tucson Roadrunners,Volleyball - Setter,,,,,,,,BMC,,,,Ugo Humbert,,Elliot Daly,Kim Dong-moon,Ryosei Kobayashi,Switzerland,Kyle Lowry,Nick Diaz,Romania,Kuldeep Yadav,Torino,Luka Jovic,Baylor Bears,Bart Starr,Fubon Guardians,Luis Aparicio,Ryan Fox,Tucson Roadrunners,Carey Price,Hasim Rahman,Stoffel Vandoorne,Alain Bernard,
,,,,,,,,,,Syria,Bulgaria,Bologna,TCU Horned Frogs,Charlotte Checkers,Volleyball - Outside Hitter,,,,,,,,Cervélo,,,,Marco Cecchinato,,Johnny Sexton,Ha Tae-kwon,Carlos Cornes,Syria,Kemba Walker,Michael Chandler,Bulgaria,Bhuvneshwar Kumar,Bologna,Pierre-Emerick Aubameyang,TCU Horned Frogs,Otto Graham,Vaqueros de Monteria,Omar Vizquel,Danny Lee,Charlotte Checkers,Henrik Lundqvist,Corrie Sanders,Marcus Ericsson,CÈsar Cielo,
,,,,,,,,,,Taiwan,Hungary,Parma,UCLA Bruins,Syracuse Crunch,Volleyball - Opposite Hitter,,,,,,,,Giant,,,,Mackenzie McDonald,,Alun Wyn Jones,Candra Wijaya,Abhay Singh,Taiwan,Spencer Dinwiddie,Islam Makhachev,Hungary,Mohammad Amir,Parma,Alexandre Lacazette,UCLA Bruins,Johnny Unitas,Tigres de Cartagena,Adrian Beltre,Frank Nobilo,Syracuse Crunch,Pekka Rinne,Ike Ibeabuchi,Nick Heidfeld,Bruno Fratus,
,,,,,,,,,,Thailand,Israel,Genoa,Ole Miss Rebels,Utica Comets,Volleyball - Middle Blocker,,,,,,,,Pearl Izumi,,,,Federico Coria,,Shannon Frizell,Rexy Mainaky,Saurav Ghosal,Thailand,Montrezl Harrell,Dan Hooker,Israel,Babar Azam,Genoa,Edouard Mendy,Ole Miss Rebels,Len Dawson,Leones del Escogido,Mariano Rivera,Bob Charles,Utica Comets,Tuukka Rask,Andrew Golota,Adrian Sutil,Thiago Pereira,
,,,,,,,,,,Tunisia,Mexico,Hellas Verona,Oklahoma State Cowboys,Chicago Wolves,Volleyball - Libero,,,,,,,,Castelli,,,,Jason Kubler,,Paul Willemse,Tony Gunawan,Vikram Malhotra,Tunisia,Collin Sexton,Charles Oliveira,Mexico,Fakhar Zaman,Hellas Verona,Emiliano Martinez,Oklahoma State Cowboys,Sonny Jurgensen,Tigres del Licey,Rafael Palmeiro,Steve Alker,Chicago Wolves,Sergei Bobrovsky,Frank Bruno,Pedro de la Rosa,Felipe FranÁa Silva,
,,,,,,,,,,Turkey,Belize,Cagliari,Utah Utes,Cleveland Monsters,Volleyball - Defensive Specialist,,,,,,,,,,,,Dominic Thiem,,Dane Coles,Koo Kien Keat,Harinder Pal Singh Sandhu,Turkey,Kevin Love,Kevin Holland,Belize,Hasan Ali,Cagliari,Ruben Dias,Utah Utes,Y.A. Tittle,Aguilas CibaeÒas,Jorge Posada,Tony Finau,Cleveland Monsters,Andrei Vasilevskiy,Henry Cooper,Karun Chandhok,Joao Gomes Jr.,
,,,,,,,,,,Ukraine,Panama,Empoli,South Carolina Gamecocks,Binghamton Devils,,,,,,,,,,,,,Kyle Edmund,,George North,Tan Boon Heong,Abhishek Pradhan,Ukraine,Harrison Barnes,Johnny Walker,Panama,Rashid Khan,Empoli,Andrew Robertson,South Carolina Gamecocks,Norm Van Brocklin,Gigantes del Cibao,Andy Pettitte,Billy Horschel,Binghamton Devils,Connor McDavid,Ingemar Johansson,Narain Karthikeyan,Etiene Medeiros,
,,,,,,,,,,United Arab Emirates,Costa Rica,Brescia,Arkansas Razorbacks,Henderson Silver Knights,,,,,,,,,,,,,Jack Draper,,Billy Vunipola,Ko Sung-hyun,Tayyab Aslam,United Arab Emirates,Terry Rozier,Thiago Santos,Costa Rica,Mohammad Nabi,Brescia,Trent Alexander-Arnold,Arkansas Razorbacks,Bobby Layne,Estrellas Orientales,David Cone,Kevin Kisner,Henderson Silver Knights,Leon Draisaitl,Ken Norton,Lucas di Grassi,Joanna Maranh„o,
,,,,,,,,,,United Kingdom,Venezuela,Sassuolo,Minnesota Golden Gophers,Seattle Thunderbirds,,,,,,,,,,,,,James Duckworth,,Ben Youngs,Lee Yong-dae,Asim Khan,United Kingdom,R.J. Barrett,Anthony Johnson,Venezuela,Eoin Morgan,Sassuolo,Richarlison,Minnesota Golden Gophers,Sid Luckman,¡guilas del Zulia,Tim Lincecum,Harris English,Seattle Thunderbirds,Auston Matthews,Jerry Quarry,Bruno Senna,KristÛf Mil·k,
,,,,,,,,,,United States,Peru,SPAL,North Carolina Tar Heels,Everett Silvertips,,,,,,,,,,,,,Gilles Simon,,Josh Adams,Yoo Yeon-seong,Nasir Iqbal,United States,Derrick Rose,Ryan Bader,Peru,Jos Buttler,SPAL,Heung-Min Son,North Carolina Tar Heels,Sammy Baugh,Cardenales de Lara,Buster Posey,Scottie Scheffler,Everett Silvertips,Mitch Marner,Earnie Shavers,Jaime Alguersuari,Zolt·n Cseh,
,,,,,,,,,,Uruguay,Bolivia,Pescara,Arizona State Sun Devils,Portland Winterhawks,,,,,,,,,,,,,Cristian Garin,,Vincent Koch,Ma Jin,Farhan Zaman,Uruguay,Tyler Herro,Phil Davis,Bolivia,Jonny Bairstow,Pescara,Matthijs de Ligt,Arizona State Sun Devils,Xavier Rhodes,Caribes de Anzo·tegui,Joe Morgan,Cameron Champ,Portland Winterhawks,William Nylander,Jimmy Ellis,Sebastian Buemi,Tam·s Darnyi,
,,,,,,,,,,Uzbekistan,Uruguay,Lecce,Kentucky Wildcats,Spokane Chiefs,,,,,,,,,,,,,Jenson Brooksby,,Nick Tompkins,Tian Qing,Israr Ahmed,Uzbekistan,Duncan Robinson,Benson Henderson,Uruguay,Jofra Archer,Lecce,Jorginho,Kentucky Wildcats,Byron Jones,Leones del Caracas,Mark McGwire,Harold Varner III,Spokane Chiefs,John Tavares,Trevor Berbick,Jean-Eric Vergne,Yevgeny Sadovyi,
,,,,,,,,,,Venezuela,Paraguay,Palermo,Virginia Tech Hokies,Tri-City Americans,,,,,,,,,,,,,Thanasi Kokkinakis,,Tomos Williams,Wang Xiaoli,Muhammad Asim Khan,Venezuela,Bojan Bogdanovi?,Rafael dos Anjos,Paraguay,Stuart Broad,Palermo,Ciro Immobile,Virginia Tech Hokies,Chris Harris Jr.,Navegantes del Magallanes,Curt Schilling,Patton Kizzire,Tri-City Americans,Matthew Tkachuk,Pinklon Thomas,Andre Lotterer,Vladimir Salnikov,
,,,,,,,,,,Vietnam,Ecuador,Catania,Boise State Broncos,Vancouver Giants,,,,,,,,,,,,,Jordan Thompson,,Makazole Mapimpi,Yu Yang,Syed Ali Mujtaba Shah Bokhari,Vietnam,Eric Bledsoe,Donald Cerrone,Ecuador,James Anderson,Catania,Dries Mertens,Boise State Broncos,Marlon Humphrey,Tiburones de La Guaira,Barry Larkin,Jhonattan Vegas,Vancouver Giants,Brady Tkachuk,Tony Tubbs,Alexander Rossi,Alexander Sukhorukov,
,,,,,,,,,,Angola,Suriname,Red Bull Salzburg,UCF Knights,Victoria Royals,,,,,,,,,,,,,Marcos Giron,,James Lowe,Tang Yuanting,Ahsan Ayaz,Angola,Ricky Rubio,Gunnar Nelson,Suriname,Moeen Ali,Red Bull Salzburg,Lorenzo Insigne,UCF Knights,Tre'Davious White,Bravos de Margarita,Mike Piazza,Emiliano Grillo,Victoria Royals,Anze Kopitar,Greg Page,Scott Speed,Arkady Vyatchanin,
,,,,,,,,,,Belarus,Guyana,Celtic,Syracuse Orange,Kamloops Blazers,,,,,,,,,,,,,Bernabe Zapata Miralles,,Paolo Garbisi,Misaki Matsutomo,Ivan Yuen,Belarus,Al Horford,Santiago Ponzinibbio,Guyana,Adil Rashid,Celtic,Federico Chiesa,Syracuse Orange,Darius Slay,Tigres de Aragua,Randy Arozarena,Joaquin Niemann,Kamloops Blazers,Jonathan Quick,Tim Witherspoon,Takuma Sato,Daria Ustinova,
,,,,,,,,,,Bosnia and Herzegovina,Trinidad and Tobago,Rangers,Pittsburgh Panthers,Kelowna Rockets,,,,,,,,,,,,,Elias Ymer,,Jake Gordon,Ayaka Takahashi,Ng Eain Yow,Bosnia and Herzegovina,Serge Ibaka,Neil Magny,Trinidad and Tobago,Kagiso Rabada,Rangers,Nicolo Barella,Pittsburgh Panthers,Casey Hayward,Yaquis de ObregÛn,Jose Ramirez,Carlos Ortiz,Kelowna Rockets,Tyler Seguin,Michael Dokes,Tora Takagi,Anton Chupkov,
,,,,,,,,,,Bulgaria,Jamaica,Galatasaray,Kansas State Wildcats,Prince George Cougars,,,,,,,,,,,,,Roberto Carballes Baena,,Liam Williams,Greysia Polii,Addeen Idrakie,Bulgaria,Robert Covington,Li Jingliang,Jamaica,Vernon Philander,Galatasaray,Jadon Sancho,Kansas State Wildcats,Desmond King,Tomateros de Culiac·n,Juan Soto,Abraham Ancer,Prince George Cougars,Jamie Benn,Buster Douglas,Shinji Nakano,Evgeny Rylov,
,,,,,,,,,,Cape Verde,Barbados,Fenerbahce,Missouri Tigers,Lethbridge Hurricanes,,,,,,,,,,,,,Carlos Taberner,,Taine Basham,Apriyani Rahayu,Ong Beng Hee,Cape Verde,Andre Drummond,Sean Brady,Barbados,Pat Cummins,Fenerbahce,Declan Rice,Missouri Tigers,Janoris Jenkins,Charros de Jalisco,Yordan Alvarez,Sebastian Munoz,Lethbridge Hurricanes,Patrice Bergeron,Tommy Morrison,Kazuki Nakajima,Irina Privalova,
,,,,,,,,,,Central African Republic,Saint Lucia,Besiktas,Mississippi State Bulldogs,Medicine Hat Tigers,,,,,,,,,,,,,Ilya Ivashka,,Nick Frost,Eom Hye-won,Nicol David,Central African Republic,Goran Dragi?,Geoff Neal,Saint Lucia,Nathan Lyon,Besiktas,Jack Grealish,Mississippi State Bulldogs,Malcolm Butler,Venados de Mazatl·n,Alex Bregman,Rafa Cabrera-Bello,Medicine Hat Tigers,David Pastrnak,Ray Mercer,Satoru Nakajima,Larisa Ilchenko,
,,,,,,,,,,Chile,Antigua and Barbuda,Dynamo Kyiv,Louisville Cardinals,Red Deer Rebels,,,,,,,,,,,,,Liam Broady,,Luke Jacobson,Shin Seung-chan,Low Wee Wern,Chile,Kelly Oubre Jr.,Michael Page,Antigua and Barbuda,Travis Head,Dynamo Kyiv,John Stones,Louisville Cardinals,Jason Verrett,Naranjeros de Hermosillo,Carlos Correa,Erik van Rooyen,Red Deer Rebels,Brad Marchand,Shannon Briggs,Ukyo Katayama,Anastasia Zueva,
,,,,,,,,,,Colombia,Dominica,Shakhtar Donetsk,Memphis Tigers,Calgary Hitmen,,,,,,,,,,,,,Mikhail Kukushkin,,Marika Koroibete,Kamilla Rytter Juhl,Delia Arnold,Colombia,Aaron Gordon,Douglas Lima,Dominica,Marcus Stoinis,Shakhtar Donetsk,Dani Olmo,Memphis Tigers,Kyle Fuller,CaÒeros de Los Mochis,Justin Verlander,Thomas Detry,Calgary Hitmen,Ryan O'Reilly,Sultan Ibragimov,Aguri Suzuki,Yana Klochkova,
,,,,,,,,,,Democratic Republic of the Congo,Grenada,Zenit Saint Petersburg,Navy Midshipmen,Edmonton Oil Kings,,,,,,,,,,,,,Denis Kudla,,David Havili,Christinna Pedersen,Sivasangari Subramaniam,Democratic Republic of the Congo,Marcus Smart,Patricio Freire,Grenada,Mitchell Marsh,Zenit Saint Petersburg,Gerard Moreno,Navy Midshipmen,James Bradberry,Mayos de Navojoa,Max Scherzer,Rasmus Hojgaard,Edmonton Oil Kings,Vladimir Tarasenko,Nikolai Valuev,Olivier Panis,Kateryna Zubkova,
,,,,,,,,,,Estonia,Saint Vincent and the Grenadines,Spartak Moscow,Air Force Falcons,Brandon Wheat Kings,,,,,,,,,,,,,Alejandro Tabilo,,Ngani Laumape,Muhammad Rian Ardianto,Rachel Arnold,Estonia,Caris LeVert,A.J. McKee,Saint Vincent and the Grenadines,Shaun Marsh,Spartak Moscow,Jordi Alba,Air Force Falcons,William Jackson III,Algodoneros de Guasave,Zack Greinke,Nicolai Hojgaard,Brandon Wheat Kings,Jordan Binnington,Samuel Peter,Eric Bernard,Mikhail Romanchuk,
,,,,,,,,,,Fiji,Saint Kitts and Nevis,CSKA Moscow,Army Black Knights,Moose Jaw Warriors,,,,,,,,,,,,,Daniel Elahi Galan,,Jordie Barrett,Fajar Alfian,Aifa Azman,Fiji,Joe Harris,Sergio Pettis,Saint Kitts and Nevis,Usman Khawaja,CSKA Moscow,Sergio Reguilon,Army Black Knights,Kendall Fuller,¡guilas de Mexicali,Stephen Strasburg,Guido Migliozzi,Moose Jaw Warriors,Mikko Rantanen,Juan Manuel Marquez,Erik Comas,Andriy Govorov,
,,,,,,,,,,Gabon,Cayman Islands,Lokomotiv Moscow,Purdue Boilermakers,Prince Albert Raiders,,,,,,,,,,,,,Pavel Kotov,,Pieter Labuschagne,Lee Hyun-il,Nele Gilis,Gabon,Larry Nance Jr.,Kyoji Horiguchi,Cayman Islands,Tim Paine,Lokomotiv Moscow,Rodri,Purdue Boilermakers,Jaire Alexander,Perth Heat,David Price,Adri Arnaus,Prince Albert Raiders,Nathan MacKinnon,Marco Antonio Barrera,Philippe Alliot,Mirna Juki?,
,,,,,,,,,,Ghana,Bahamas,Krasnodar,Indiana Hoosiers,Regina Pats,,,,,,,,,,,,,Juan Pablo Varillas,,Hugo Keenan,B. Sai Praneeth,Tinne Gilis,Ghana,Norman Powell,Demian Maia,Bahamas,Aaron Finch,Krasnodar,Ansu Fati,Indiana Hoosiers,Patrick Surtain II,Brisbane Bandits,Corey Kluber,Pablo Larrazabal,Regina Pats,Gabriel Landeskog,Erik Morales,Jonathan Palmer,Franziska van Almsick,
,,,,,,,,,,Guinea,Nigeria,Al Ahly,Illinois Fighting Illini,Saskatoon Blades,,,,,,,,,,,,,Hugo Dellien,,Sione Tuipulotu,Prannoy H. S.,Jan Van Den Herrewegen,Guinea,Darius Garland,Anderson dos Santos,Nigeria,Dinesh Karthik,Al Ahly,Pau Torres,Illinois Fighting Illini,Asante Samuel Jr.,Sydney Blue Sox,Madison Bumgarner,Jorge Campillo,Saskatoon Blades,Cale Makar,Wilfredo Gomez,Martin Brundle,Britta Steffen,
,,,,,,,,,,Ivory Coast,Ghana,Zamalek,Northwestern Wildcats,Swift Current Broncos,,,,,,,,,,,,,Radu Albot,,Juan Imhoff,Wang Lin,Diego Gobbi,Ivory Coast,Wendell Carter Jr.,Marlon Moraes,Ghana,Ishant Sharma,Zamalek,Pedri,Northwestern Wildcats,Trevon Diggs,Melbourne Aces,Adam Wainwright,Andrea Pavan,Swift Current Broncos,John Carlson,Wilfred Benitez,Derek Warwick,Paul Biedermann,
,,,,,,,,,,Jamaica,Tanzania,Raja Casablanca,Maryland Terrapins,Winnipeg Ice,,,,,,,,,,,,,Corentin Moutet,,Damian McKenzie,Xie Xingfang,Robert Downer,Jamaica,Jahlil Okafor,Petr Yan,Tanzania,Hardik Pandya,Raja Casablanca,Mikel Oyarzabal,Maryland Terrapins,Jaylon Johnson,Canberra Cavalry,Yadier Molina,Nino Bertasio,Winnipeg Ice,T.J. Oshie,Miguel Cotto,Eddie Irvine,Thomas Rupprath,
,,,,,,,,,,Kenya,Rwanda,Wydad Casablanca,Boston College Eagles,London Knights,,,,,,,,,,,,,Tomas Machac,,Mark Telea,Pia Zebadiah,,Kenya,Josh Richardson,Cody Garbrandt,Rwanda,KL Rahul,Wydad Casablanca,Ferran Torres,Boston College Eagles,Carlton Davis,Adelaide Giants,Paul Goldschmidt,Francesco Laporta,London Knights,Evgeny Kuznetsov,Felix Trinidad,Johnny Herbert,Hannah Stockbauer,
,,,,,,,,,,Kuwait,Botswana,Kaizer Chiefs,NC State Wolfpack,Kitchener Rangers,,,,,,,,,,,,,Stefano Travaglia,,Matt Fagerson,Jin Wei Goh,,Kuwait,Tim Hardaway Jr.,T.J. Dillashaw,Botswana,Shubman Gill,Kaizer Chiefs,Koke,NC State Wolfpack,Rock Ya-Sin,Auckland Tuatara,Matt Carpenter,Bernd Wiesberger,Kitchener Rangers,Braden Holtby,Hector Camacho,Mika Salo,Kirsty Coventry,
,,,,,,,,,,Kyrgyzstan,Malawi,Orlando Pirates,Wake Forest Demon Deacons,Windsor Spitfires,,,,,,,,,,,,,Roman Safiullin,,Cam Redpath,Mads Pieler Kolding,,Kyrgyzstan,Dennis Schrˆder,Aljamain Sterling,Malawi,Mohammed Siraj,Orlando Pirates,Cesar Azpilicueta,Wake Forest Demon Deacons,Chidobe Awuzie,Geelong-Korea,Jason Heyward,Matthias Schwab,Windsor Spitfires,Nicklas Backstrom,Alexis Arguello,Andrea de Cesaris,Roland Schoeman,
,,,,,,,,,,Libya,Mozambique,Mamelodi Sundowns,Georgia Tech Yellow Jackets,Sarnia Sting,,,,,,,,,,,,,Norbert Gombos,,Kurtley Beale,Vladimir Ivanov,,Libya,Thaddeus Young,Cory Sandhagen,Mozambique,Ravindra Jadeja,Mamelodi Sundowns,Dani Parejo,Georgia Tech Yellow Jackets,Denzel Ward,Puerto Rico Islanders,Jon Lester,Sepp Straka,Sarnia Sting,Steven Stamkos,Aaron Pryor,Pierluigi Martini,Cameron van der Burgh,
,,,,,,,,,,Luxembourg,Sierra Leone,Esperance de Tunis,Duke Blue Devils,Guelph Storm,,,,,,,,,,,,,Henri Laaksonen,,Liam Squire,Ivan Sozonov,,Luxembourg,Steven Adams,Frankie Edgar,Sierra Leone,Suresh Raina,Esperance de Tunis,Pablo Sarabia,Duke Blue Devils,Minkah Fitzpatrick,Criollos de Caguas,Kyle Hendricks,Richard Bland,Guelph Storm,Nikita Kucherov,Meldrick Taylor,Gabriele Tarquini,Penny Heyns,
